id,firstName,middleNames,surname,nickname,dob,uniqueAchievement,wikiLink
1,Yuri,Alekseyevich,Gagarin,,1934-03-09,First man in space,Yuri_Gagarin
2,Alan,Bartlett,Shepard,,1923-11-18,First American in space,Alan_Shepard
3,Virgil ,Ivan,Grissom,Gus,1926-04-03,Died in Apollo 1 fire,Gus_Grissom
4,Gherman,Stepanovich,Titov,,1935-09-11,,Gherman_Titov
5,John,Herschel,Glenn,,1921-07-18,,John_Glenn
6,Malcolm,Scott,Carpenter,,1925-05-01,,Scott_Carpenter
7,Pavel,Romanovich,Popovich,,1930-10-05,,Pavel_Popovich
8,Andriyan,Grigoriyevich,Nikolayev,,1929-09-05,,Andriyan_Nikolayev
9,Walter,Marty,Schirra,Wally,1923-03-12,,Wally_Schirra
10,Leroy,Gordon,Cooper,Gordo,1927-03-06,,Gordon_Cooper
11,Valeri,Fyodorovich,Bykovsky,,1934-08-02,,Valeri_Bykovsky
12,Valentina,Vladimirovna,Tereshkova,,1937-03-06,First woman in space,Valentina_Tereshkova
13,Joseph,Albert,Walker,,1921-02-20,First person to fly in to space twice,Joseph_A._Walker
14,Konstantin ,Petrovich,Feoktistov,,1926-02-07,,Konstantin_Feoktistov
15,Vladimir ,Mikhailovich,Komarov,,1927-03-16,First human to die in spaceflight,Vladimir_Komarov
16,Boris ,Borisovich,Yegorov,,1937-11-26,,Boris_Yegorov
17,Pavel ,Ivanovich,Belyayev,,1925-06-26,,Pavel_Belyayev
18,Aleksei ,Arkhipovich,Leonov,,1934-05-30,First man to conduct an EVA,Aleksei_Leonov
19,John ,Watts,Young,,1930-09-24,,John_Young_(astronaut)
20,James ,Alton,McDivitt,,1929-06-10,,James_McDivitt
21,Edward,Higgins,White,Ed,1930-11-14,First American to conduct an EVA,Ed_White_(astronaut)
22,Charles,,Conrad,Pete,1930-06-02,,Pete_Conrad
23,Frank,Frederick ,Borman,,1928-03-14,,Frank_Borman
24,James ,Arthur,Lovell,Jim,1928-03-25,,Jim_Lovell
25,Thomas,Patten,Stafford,,1930-09-17,,Thomas_P._Stafford
26,Neil,Alden,Armstrong,,1930-08-05,First man on the Moon,Neil_Armstrong
27,Eugene ,Andrew,Cernan,,1934-03-14,,Gene_Cernan
28,Michael,,Collins,,1930-10-31,,Michael_Collins_(astronaut)
29,Richard ,Francis,Gordon,Dick,1929-10-05,,Richard_F._Gordon_Jr.
30,Edwin ,Eugene ,Aldrin,Buzz,1930-01-20,Second man on the Moon,Buzz_Aldrin
31,Ronnie,Walter,Cunningham,Walter,1932-03-16,,Walter_Cunningham
32,Donn ,Fulton,Eisele,,1930-06-23,,Donn_F._Eisele
33,Georgy,Timofeyevich,Beregovoy,,1921-04-15,,Georgy_Beregovoy
34,William,Allison,Anders,,1933-10-17,Took the famous 'Earthrise' photograph,William_Anders
35,Yevgeni,Vasiliyevich,Khrunov,,1933-09-10,,Yevgeni_Khrunov
36,Vladimir,Aleksandrovich,Shatalov,,1927-12-08,,Vladimir_Shatalov
37,Boris,Valentinovich,Volynov,,1934-12-18,,Boris_Volynov
38,Aleksei,Stanislavovich,Yeliseyev,,1934-07-13,,Aleksei_Yeliseyev
